Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Everything I Need I Get from You: How Fangirls Created the Internet as We Know It,Kaitlyn Tiffany,"",9780374539184,paperback,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
In the Vanishers' Palace,Aliette de Bodard,"",9781625673749,digital,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
The Once and Future King,T.H. White,"",9780441627400,paperback,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Half a Soul,Olivia Atwater,"",B086825NZ3,digital,to-read,2024/02/24,"","",0,"",,,,,,,,,"",,"",No
Crying in H Mart,Michelle Zauner,"",9780525657743,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
All of Us Villains,"C.L. Herman, Amanda Foody","",9781250789259,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Three Days of Happiness,Sugaru Miaki,"E9L (Illustrator), Stephen Paul (Translator)",9781975314217,hardcover,to-read,2024/02/13,"","",0,"",,,,,,,,,"",,"",No
Julia,Sandra Newman,"",9780063265332,hardcover,to-read,2024/02/24,"","",0,"",,,,,,,,,"",,"",No
Dance of Thieves,Mary E. Pearson,"",9781250159014,hardcover,to-read,2024/02/10,"","",0,"",,,,,,,,,"",,"",No
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"",9780735211292,hardcover,read,2024/02/17,2022/08,2022/08,1,"",,,,,,,,,"",,"",No
The Fever Code,James Dashner,"",9780553513097,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
The Naturals,Jennifer Lynn Barnes,"",9780316540629,paperback,read,2024/02/10,2023/07,2023/07,1,"",,,,,,,,,"",,"",No
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,"",9780062457714,hardcover,read,2024/02/17,2022/11,2022/11,1,"",,,,,,,,,"",,"",No
Flashback,Shannon Messenger,"",9781481497435,hardcover,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
See You Yesterday,Rachel Lynn Solomon,"",9781665901925,hardcover,read,2024/02/13,2024/02/16,2024/02/16-2024/02/16,1,"funny, lighthearted",medium,"","","","","",4.25,,"","","",No
Shadow and Bone,Leigh Bardugo,"",9780805094596,hardcover,read,2024/02/10,2021/06,2021/06,1,"",,,,,,,,,"",,"",No
Exile,Shannon Messenger,"",9781442445970,paperback,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
Percy Jackson's Greek Heroes,Rick Riordan,John Rocco (Illustrator),9781484776438,paperback,read,2024/02/10,"","",1,"",,,,,,,,,"",,"",No
Our Violent Ends,Chloe Gong,"",9781529344561,hardcover,read,2024/02/17,2023/05,2023/05,1,"",,,,,,,,,"",,"",No
"The Written World: The Power of Stories to Shape People, History, Civilization",Martin Puchner,"",,,to-read,2024/02/25,"","",0,"",,,,,,,,,"",,"",No
She Who Became the Sun,Shelley Parker-Chan,"",9781250621801,hardcover,to-read,2024/02/17,"","",0,"",,,,,,,,,"",,"",No
"Loveboat, Taipei",Abigail Hing Wen,"",9781471192852,paperback,read,2024/02/10,2023/09,2023/09,1,"",,"","","","","",3.75,,"","","",No
